,title,description,video_id
47,Seinfeld - Highlights of Mr & Mrs Costanza part 3,Part 1 - https://www.youtube.com/watch?v=ZVq7CyhfRA8 Part 2 - https://www.youtube.com/watch?v=IfBaDWVIK7E Part 4 is coming soon :) No copyright is ...,DUs6xn57UUc
48,Seinfeld - AIDS Walk,Seinfeld - Season 7 - Episode 9 (The Sponge),iU9V4FEG_D4
49,Seinbytes {The Nipple} Seinfeld NBC,"Seinbytes {The Nipple} Seinfeld NBC -Elaine sends out a Christmas card with her nipple exposed. ""nip"" -Seinfeld is a situation comedy which ran from July 5, ...",dMvTyv5JSUs
50,"Learn Water Vehicles for Kids Children Toddlers Babies | Learning Vehicles | Ferry, Boats, Ships etc","Welcome to Kids Channel Toy collector, Hello Kids, In This video you kids can learn about water or Sea or Ocean Vehicles such as Ships, Boats, Ferry's Etc.",HAAIjN5qvJg
51,Ferry Boat For Kids,Moving Machines For Kids presents a Ferry Boat! Ferry boats transport people and vehicles across bodies of water like large lakes or parts of the ocean. Ferry ...,S5wcBqcd8Y8
52,"Greece, Thassos, Anassa M ferry boat. 25-Sep-2016.","Паромная переправа с материка на остров Тассос. После 24-х часового пути из Кишинёва в Грецию, мы достигли...",jrHMdz7Lv9Y
53,FERRY BOATS of British Columbia 2018,"British Columbia has a fleet of car ferries that move between the mainland and the Gulf Islands including Vancouver Island , here are some at work in Canada's ...",TxzTdTVe_RE
54,Sinking MV Twin Capes  - Cape May Ferry,"Filmed by Rich King - Watch as retired Cape May Ferry, MV Twin Capes, gets sunk into the Ocean off the coast of Cape May Please Subscribe and hit that ...",rm1R-TYAZHU
55,"Ferryboats, mining barges, Casino boats etc 26 3 18","Panaji - Betim Ferry crossing, fishing, Barges carrying iron ore, Casino boats, cruise boats, feeder boats, new Mandovi bridge etc.",qC3qrqd0XFQ
56,Cape May Lewes Ferry Boat Trip,"This is a video I took when I was on vacation on the Cape May Lewes Ferry Boat from New Jersey to Delaware on May 15, 2012 at 2:30 PM. Sea's were rocking ...",ytKW6Kt34lE
57,ferry boats crossing 3 11 17,"3 in 1, Panaji Betim Route. First ferry had 95 passengers, 43 motor bikes, 4 cycles etc Mandovi bridge cable tower also seen.",aYjqlODXNiw
58,Construction Truck Videos For Children | Bulldozer Launches Ferry Boat,"On this episode of the Axel Show, Axel and his Daddy are back at the beach with their construction trucks! They use their toy bulldozer truck to dig out a surprise ...",YTGfBUmsbMs
59,"MYKONOS, huge FERRY BOAT unloads and reloads in 15 minutes, GREECE","SUBSCRIBE: http://www.youtube.com/c/VicStefanu - Let's watch as a brand new, huge, ferry boat approaches the new harbour (port) of the Greek island of ...",7EXBsqS25xo
60,World's Largest Fast Ferry - HSS 1500 Class Stena Explorer,"The Stena HSS Explorer arriving at Dun Laoghaire port in Dublin, Ireland on the 17th of July 2014. The high-speed Stena (HSS) is the world's largest fast ferry, ...",dKJXD7dlPL4
61,OCEAN JET FERRY CEBU BOAT TERMINAL versus 2GO BOAT FERRIES in the Philippines 00019,OCEAN JET FERRY CEBU BOAT TERMINAL versus 2GO BOAT FERRIES in the Philippines 00019 https://youtu.be/unjVrK9HOYg.,unjVrK9HOYg
62,Five Minutes on Mackinac - Ferry Boats Arriving at the Arnold Dock,"In this installment of 'Five Minutes on Mackinac,' the camera is set near the end of the Arnold Transit Company dock on Mackinac Island. It's a quiet, late ...",O9fczTT9n9o
63,Catamaran Ferry and Dinner Boat,Aluminum catamaran passenger vessel for whale watch cruises and dinner boat events. The 83' MV Triumphant is a fast catamaran passenger ferry that ...,kM28sVBkv14
64,New Zealand Ferry Rough Crossing.mov,The Cook Straits Interislander ferry from Wellington to Picton underwent an extremely rough crossing in March 2006. Many vehicles were severely damaged but ...,RPjWMDAYWZs
65,RC model boat of Robin Hood car ferry,My Robin Hood docking at the international model boat show 2014.,VISDHWQE7v0
66,AquaBus FerryBoats › 🚤 Ibiza - Formentera ☼ Puerto La Savina ☼ ⁞ Formentera,"Euch hat das Video gefallen? :D --- ""DAUMEN HOCH"" ♡ ▸ ++ ..:: https://youtu.be/uNZDs54XVLo ::.. ++ ▸ FIRST CHECK (✓), THAN TRAVELS ...",uNZDs54XVLo
67,"FERRY BOAT GUARATUBA MATINHOS, TRAVESSIA COMPLETA | IMAGENS FANTÁSTICAS!","Para deslocar-se entre as praias de Guaratuba e Caiobá, no litoral do Paraná, o ferry boat é a única opção, isso mesmo é são balsas operadas, em regime de ...",k_JQf9X3Nsc
68,AMAZING BAMBOO MOTORCYCLE FERRY IN THE PHILIPPINES! (Crazy Filipino Boat),"AMAZING BAMBOO MOTORCYCLE BOATS IN THE PHILIPPINES!? Yes, that is exactly what we found ourselves on while searching for a way to cross a river ...",f4jVZn1rUPo
69,Sinking the MV Twin Capes Ferry || ViralHog,"Occurred on June 15, 2018 / Millsboro, Delaware, USA ""This is the sinking of the MV Twin Capes Ferry. She sunk at the Del-Jersey-Land Reef off the coasts of ...",i7qVVjVd4F0
70,Mackinac Bridge Ferry Boat Ride - Sheplers Mackinac Island Ferry Boat - Matt's Rad Show,Sheplers Ferry Boat Ride underneath the Mackinac Bridge. This was unexpected but a nice treat! Always a fun trip! Thanks for the ride Sheplers! St Ignace ...,vH56YpLEwKo
71,Coach Bus Simulator Gameplay Taking Ferry Boat,"Gameplay of Driving a bus in the Coach Bus Simulator Game available on iOS and Android. If you want more gameplay videos, comment below!",HaaLIMDyQkU
72,How to Draw A Ferry Boat,How to Draw & Paint Ferry Boats https://www.deepspacesparkle.com/how-to-draw-paint-ferry-boats/ I created this 5 minute video to detail a few features of my ...,NfcA-pijjE4
73,"Nassau, Bahamas Ferry Boat from Port to Paradise Island HD","Ferry boats (water taxis) is $10 Round Trip from the Cruises Port. It transports you between Nassau and Paradise Island, giving you a waterfront view of the ...",LcLmAC3lKnw
74,"RC MODEL SCALE SHIPS, RC FISHING BOATS, RC FERRY, RC CRUISE SHIP IN ACTION ON THE POOL!!","Amazing rc model scale ships and boats in demonstration and motion!! Enjoy watching*** Event: Fair Leipzig Germany 2017 *** © Thomas Petschel, RC RC RC!",MiQRtzifHzk
75,"GREAT RC MODEL SCALE SHIPS, RC BOATS, RC FERRY, RC CRUISE SHIP IN MOTION ON THE POOL!!","Many different rc ships and boats in demonstration!! Enjoy watching*** Event: Fair Leipzig Germany 2017 *** © Thomas Petschel, RC RC RC!!! ------ Modell ...",Pdd2weG11pk
76,Travessia de Ferry Boat Cojupe x São Luís EP 27/18,"Só pra não ficar sem vídeo pra vcs. Infelizmente não passei durante o dia, que nos daria belas imagens. Não estou conseguindo fazer vídeos o suficiente para ...",h8V333wcSFw
77,SuperCat 4 High Speed Catamaran Ferry - Sydney to Watsons Bay,"SuperCat 4 High Speed Catamaran Ferry - Sydney to Watsons Bay These boats are very ... very fast !! Quick trip to Watsons Bay and back to Circular Quay, ...",nyOwh26EYfg
78,"GREECE: The FERRY BOATS of the beautiful ISLAND of SALAMIS (Salamina, Σαλαμινα)","SUBSCRIBE: http://www.youtube.com/c/VicStefanu - Salamina (Σαλαμινα), Greece, the ferry boats. Vic Stefanu, vstefanu@yahoo.com.",5OAhlp7f9m0
79,Laos-2-Mekong river ferryboats and trucks crossing,The ferry across the Mekong river. Some heavy trucks are shipped across constantly. Wachtend op mijn eigen boot heb ik wat vrachtwagen gefotografeerd die ...,DiQKgTdUc_I
80,Greek Island Ferry Flawlessly Executes Heavy Seas Med Moor AGAIN!),This is the roro passenger ferry Adamantios Korahs performing a mediterranean mooring procedure (stern-to-dock) at the Greek Island of Sikinos in the Aegean ...,Kw2r3Of0miE
81,My Classic Boat.  Itchen Ferry 1922.,"My Classic Boat. This 1922 Itchen Ferry is too die for, she's one of only a handful of originals left sailing. Owner Don Burns showed us around and let us into the ...",DLGsENLeSu8
82,FJORD FERRY: Boat videos for kids| children| toddlers. Preschool & Kindergarten learning.,Moving Machines For Kids presents a Ferry Boat! Ferry boats transport people and vehicles across bodies of water like large lakes or parts of the ocean. Ferry ...,sVEQOQC4MRM
83,Lego City Ferry with Sports Car 60119 - Lego City Boat with Ship Captain - Lego Speed Build,https://youtu.be/PUt1FovqRp0 Lego City Ferry with Sports Car 60119 - Lego City Boat with Ship Captain - Lego Speed Build Product Description LEGO City ...,PUt1FovqRp0
84,Rai - Shiroda ferry crossing,"Shiroda to Rachol (Raia). Crossing in real / actual time i.e. 5 minutes. Mining barge carrying Iron ore, another ferryboat also seen. Zuari River. Karai Shiroda Rai ...",kfTSihI1JTg
85,SANDY....Little Ferry NJ Residents Rescued in Boats,SANDY......Little Ferry NJ Residents Rescued in Boats. esidents of four northern New Jersey towns inundated when a levee failed to hold back Sandy's storm ...,VbeN-VJt1Og
86,3 minute ferry boat ride turns into 3 hour adventure in Tanzania,"It's Christmas Eve and we're enroute to our next camp via the ferry. Well, what we heard to be a 3 minute ride turned into a 3 hour adventure. Tanzania, south of ...",HD3txKj3Xys
87,Ferry from Puerto de Mogan to Puerto Rico - Gran Canaria 4K,Pleasant boat trip along the south-west coast of Gran Canaria with magnificent views.,sasPxxGLBbk
88,Dartmouth Royal Regatta 2016. HMS Ledbury and the Ferry Boats.,"Stars of the Show at Dartmouth Regatta are the hard working passenger and car ferrys. Views of the upper and lower car ferrys, passenger ferrys and river cruise ...",yV9qrxiX8Tc
89,Do Vintage LEGO Boats Float? Set 311 Ferry from 1973,"Do LEGO boats float? Vintage Lego Floating Boat set 311 Ferry from 1973 with 83 pieces. Hull actually floats! I had just received the instructions in a recent haul, ...",mbv_7FmGx0s
90,Comissão faz vistoria em ferry-boats do Terminal da Ponta da Espera,Os deputados foram ver de perto as condições de funcionamento dos ferry-boats que atuam no sistema de transporte aquaviário de passageiros e cargas entre ...,u5Sr3ZGsEIw
91,Los ferry boats ya flotan en la superficie del Paraná,Los equipos especializados iniciaron los trabajos el día lunes. Ahora buscan acelerar los trabajos de puesta en valor para evitar que los barcos vuelvan a ...,UqZ9NCNwCY4
92,Trials of the world's fastest all-electric commuter ferry,(28 Oct 2016) LEAD IN: Experts in Sweden are trialling the world's fastest electric commuter ferry - a supercharged vessel capable of hitting top speeds of 30 ...,_-XLuzjJ6jc
93,Ferryboats Moments,Meredith Derek.,gvs6RVU-Qb0
94,フェリーいしかり　フェリーきそ　Navi. by Ferry Boats  BGM Meren Rannalla （リメイク）,リメイクです。前回ＵＰしたものは一部手ぶれが酷く船酔いしそうでしたので手ぶれ補正してみました。ある程度軽減しました。内容は殆ど同じ...,-BAfvBOSN4k
95,"Boats LIVE (test from Seacombe Ferry Terminal, Wallasey/Liverpool/Wirral)",I was testing whether YouTube 'Go live' was working on Thursday...which it was.,ZnyfaG4uaTI
96,PM in Gujarat: Ghogha-Dahej ferry service begins,DD News 24x7 ----------------------------------------------------------------------------------------------------------- 'DD News' is the News Channel of India's Public Service ...,G1AZibJo-g8
97,Cities Skylines: How to Set up a Ferry Line Tutorial,This video is a helpful tutorial demonstrating how to set up a ferry line in Cities Skylines. Beginners may find this particularly useful as a way to learn how to ...,KoHUF54Hfjs
98,"Freight train and ferryboats at Milepost 18, Edmonds, WA, 11-16-2012","It's a windy winter day in Edmonds, WA. I'm at Milepost 18 on the Scenic Sub, waiting for a train. A couple of ferry boats are plying the choppy waters of Puget ...",2_rQFPAyiCQ
99,Victoria Harbour Ferry 25th anniversary,http://www.victoriaharbourferry.com/ Victoria's Inner Harbour will be the spectacular backdrop for a 25th Anniversary Tribute Parade of Sail and Water Ballet to ...,lyh2YKl50B4
100,Following A Bob Ross Painting Tutorial,click to join the #prettylittlelaurs fam!! http://bit.ly/2bIXkpJ ✂ SHOP LAURDIY PRODUCTS: http://laurdiy.com/ omg I bob rossed.... lol. Let me know in the ...,VFcJSmgM_ck
101,Following A Bob Ross Painting Tutorial,Please subscribe to my channel and my vlog channel! I make new videos here every Wednesday and make vlogs during my majestical daily life.,-ZW-ZnQoj5g
102,Following a Bob Ross Tutorial with my Twin Brother! (Drew Phillips),This was a disaster... for me at least! Lol DREW'S VIDEO: https://www.youtube.com/watch?v=rkewvUbZKmg twitter♡: ayexmadeline instagram♡: ayexmadeline ...,ACoyRGDkd2A
103,I follow a Bob Ross painting tutorial with only audio,I tried following a Rob Boss painting tutorial using just the audio because I'm a pleeb. Check out my other videos! REACTING TO ANTI-GAY COMMERCIALS ...,vqt5YB11c1c
104,Following a Bob Ross Painting Tutorial with Liza,WATCH THE 200TH VIDEO HERE!! - https://youtu.be/71EnmYFe6SI BUY NEW MERCH HERE: https://www.swipeupinc.com/collections/zane-hijazi Liza and I ...,0x8Njz3UxNk
105,The Untold Truth Of Bob Ross,"If you're new, Subscribe! → http://bit.ly/Subscribe-to-Grunge Bob Ross. Just his name brings a calm. The soft-spoken painter who didn't make mistakes, only ...",26XoeKq3Ics
106,following a bob ross tutorial tripping on mushrooms w/ my twin sister,"madelines video: https://www.youtube.com/watch?v=ACoyRGDkd2A click ""open more"" business inquires: Drewphillipsbusiness@gmail.com (✿◕ ‿◕ฺ)ノ))。",rkewvUbZKmg
107,Bob Ross Banned Me on YouTube!! 90 Days Live Stream Ban,"Become my ""Lazy Peon"" by subscribing here: https://www.youtube.com/c/Lazypockets ...",3Vzk-iptndw
108,Following A Bob Ross Painting Tutorial With ONLY AUDIO,"Today I'm going to be following a Bob Ross painting tutorial with ONLY AUDIO. So I have no idea what he's painting, I can only guess lol NEW Unicorn Slime: ...",5uazthebp8Y
109,Tyler1 Bob Ross funny stream highlights,stutter LUL.,40Ir-s0bfL0
110,Krita - Painting in the style of Bob Ross,Again a short timelapse video where i tested my new brushset Environments 2.0 for the wonderful free and open source painting software Krita. You can ...,u5rtxBu6QNw
111,Top 10 Facts About Bob Ross,Top 10 Facts About Bob Ross Subscribe: http://goo.gl/Q2kKrD // Have a Top 10 idea? Submit it to us here! http://watchmojo.com/my/suggest.php He may have ...,p-GbmVo9fRM
112,I TRIED TO FOLLOW A BOB ROSS PAINTING TUTORIAL BLINDFOLDED!!!,"Art challenge, anyone?! FOLLOW ME ON MY PATH & SUBSCRIBE: https://www.youtube.com/throughryanseyes *TURN ON MY POST NOTIFICATION FOR ...",qK1KwBaMVDc
113,Siguiendo Una Pintura De BOB ROSS,"No es por agrandarme pero, Dalí un poroto al lado mio. Empece a decorar mi habitacion pegando posters en la pared porque ahora que soy Youtuber le tengo ...",sS9V_Zx-FjM
114,Bob Ross Adventure,Bob Ross Adventure - Can you paint happy trees like Bob Ross from the Joy of Painting with no painting experience at all? ***OUR YouTube CHANNELS*** ...,MCxxvb_wpt0
115,"A trip to the Bob Ross....""The Joy of Painting"" Artist Gallery & Workshop New Smyrna Beach, Florida",The iconic Bob Ross The Happy Little Painter whose tv series of amazing 30 minute painting segments with his wonderful soothing voice...A trip back in time for ...,pJ8Qa1FNMx0
116,Miniature Bob Ross Painting Challenge / That YouTub3 Family,We take our painting skills to the next level and try to paint super small paintings that are just like Bob Ross paintings. We are That YouTub3 Family! We like to ...,H6t7n7tLE4o
117,Bob Ross: Warm Winter Days,Bob Ross - The Joy of Painting - Season 20 is now available on iTunes! http://bit.ly/iTunesBobRoss Subscribe for full length episodes!,l21qoE42ilg
118,How To Paint with Dayvin Ross,"Learn how to paint beautiful landscape paintings with Dayvin Ross, and be the envy of your friends! Subscribe for new, funny videos every Wednesday!",mpDOVajzlV4
119,Bob Ross Had a Bad Night,Bob gets a little too personal in this episode... www.robmarnell.com.,_oSXYCEdMHQ
120,Bob Ross all intro in the Joy on Painting [*FullHD*],Joy the Painting [1-31 seasons + instructional series],W5idfW6LJws
121,How to play Bob Ross: Art of Chill Game in 6 minutes,"How to play Bob Ross: Art of Chill Game, designed by Prospero Hall For an alphabetical list of my videos: http://bit.ly/2vlymoz ...",NjWgOsIAd3k
122,PAINTING THE SMALLEST BOB ROSS PAINTING!,Happy little dooders..everywhere!,0b41gEy2PMY
123,Bob Ross Knife Only #10,this is not my content. i just edited all the knife parts out of 2 episodes.,8Y3QUkjzPCQ
124,Painting A Bob Ross Painting As Bob Ross On A Bob Ross Painting!,SUBSCRIBE!: http://bit.ly/SubCraigThompson Gaming Channel: http://bit.ly/SubMiniLaddd Friends in this video: fourzer0seven: http://bit.ly/1YXyFLX Ty: ...,jfFzcKc2gk4
125,"Bob Ross Painting Technique - Mountain, Sea and Clouds [time lapse]","Please like, share, subscribe and check out my other videos :) The music is produced by me, you can hear more..here: www.soundcloud.com/octavenoize ...",x-PNbQZdteU
126,Bob Ross Palette Knife Review,Bob Ross Oil Painting Palette Knife On the hunt for a oil painting palette knife that will work best for your wet on wet oil painting needs? The Bob Ross palette ...,Ym4EFS-Fxuw
127,Following a Bob Ross Painting Tutorial,"For this video, I'll be following a Bob Ross painting tutorial. I've wanted to do this for awhile now and I'm so happy I finally got to get to try it out. It was definitely ...",nsRDJLu8CaA
128,following a BOB ROSS PAINTING TUTORIAL,Picasso could never.,drBJIeBmvGc
129,Halloween - Dressing up as Bob Ross,G'day all MrPaladin here. I've often been named the Bob Ross of TF2. Lets take it a step furthur today and paint a happy little picture with the enemies blood as I ...,4DhThev8jKw
130,I Tried Following The HARDEST Bob Ross Tutorial..,"PART ONE: I FOLLOW A BOB ROSS TUTORIAL https://www.youtube.com/watch?v=EVmtSBoLq8M Just as a disclaimer, if I make a joke or complain, its no ...",5P5bNAjHyFw
131,Bob Ross Face Painting Challenge / That YouTub3 Family,We try to create a Bob Ross Masterpiece on our partners face! Let us know who you think did the best face painting job. We are That YouTub3 Family! We like to ...,fk0_N2PDbkU
132,Bob Ross Remixed Happy Little Clouds REACTION!!,Eric and Aaron react to and discuss Bob Ross Remixed | Happy Little Clouds Watch it here: https://www.youtube.com/watch?v=YLO7tCdBVrA Enjoy our stuff and ...,GFDzTGyHlBA
133,PAINTING WITH BOB ROSS // WITH MICROSOFT PAINT,"I take on the Bob Ross challenge, with MS Paint! Please remember to like, share and comment. It helps me out so much! I'm also available on other social ...",BdQ5wBoirzg
134,Men Try Bob Ross - Valley View Painting,Today we embark on a journey of inner peace; channeling our inner Bob Ross while painting his always popular Valley View scene. We hope this video brings ...,d0M_0M0JjyQ
135,Twitch Chat meets Bob Ross,"""32 year stream delay"" ""RUINED"" ""WHY"" ""Kreygasm"" Never change, chat.",Dnr0gLEmhvw
136,Bob Ross Time Lapse   YouTube,,EI4HQz-Y1_U
137,Bob Ross Liquid White Review,Bob Ross Liquid White Review Bob Ross Magic White Review Liquid or Magic White is one of the best tools out there for anyone looking to paint like Bob Ross ...,BxyB4EswoZU
138,OLMS - Bob Ross (VIDEOClip HD/HQ),"OLMS - Bob Ross (2017) OLMS/ Dennis Hudson , Darkwave electronic ,experimental Detroit Michigan, https://olms.bandcamp.com/music ...",6wEkT1od3f0
139,Bob Ross Master Paint Set | Unboxing and Review | Bob Ross Tutorial,Thanks for watching where to get the Bob Ross Master Paint Set ...,PzQviUtxjyc
140,i tried (and failed) to follow a bob ross tutorial ep.1,Picasso who? Chill & chat with me and watch me take 3 hours to do a 27 minute Bob Ross painting tutorial and fail miserably. • • • • • • • • • • • ✶ MY LINKS ✶...,7GW5sNN27rA
141,Minecraft Build Off #79 - BOB ROSS,Abonneer gratis ↪ http://bit.ly/SubscribeDHD ➤ Vorige video: ...,qRtWY7ay460
142,Renegades React to... Epic Rap Battles of History - Bob Ross vs. Pablo Picasso,Like the video? Subscribe! ▻ https://www.youtube.com/channel/UCN98z0HLI504R0jGqfEC9Zw Original Video: ...,Pb30QZJdqE4
143,Bob Ross Painting in MS Paint - Speedart,I decided to follow along Bob Ross in creating a painting with a bit of a catch - I used MS Paint in place of actual tools. The final product was not as great as some ...,2tEgHHz0qtE
144,Bob Ross-ボブの絵画教室 ～パステル色の海～　2／2,,0Yb68bvwMLw
145,BOB ROSS İLE RESİM EĞİTİMİ | Following A Bob Ross Painting Tutorial,Çok kısa zamanda doğa resimleri yapıp ailemizin ressamı rahmetli Bob Ross'a meydan okuyorum! :) Evet bu “challenge”ım yaptığım en zorlu challenge belki ...,v-ikkpyX5NQ
146,DANCING WITH BOB ROSS! | Friday the 13th Game (Funny Moments) #7,We return to paint happy little trees! Make sure you leave a like to support the channel! MOAR Friday the 13th! ➡ http://bit.ly/2rAlRDV Subscribe ...,v49NyGh1BOo
147,Bob Atroz - Pintando un Banco,,QqwoN6FXYk8
148,How to paint Bob Ross mountains with acrylic paint,How to paint Bob Ross mountains using water based paint.,JofeYchy0-k
